Date,Trades,Wins,Losses,Day P&L,Cumulative P&L,Max Drawdown
2025-09-08,22,8,14,0.85,0.85,0.00
2025-09-09,30,3,27,-191.25,-190.40,-191.25
2025-09-10,25,9,16,-25.70,-216.10,-216.95
2025-09-11,28,3,25,-216.55,-432.65,-433.50
2025-09-12,24,4,20,-57.30,-489.95,-490.80
2025-09-15,25,11,14,-38.60,-528.55,-529.40
2025-09-16,15,3,12,-49.30,-577.85,-578.70
2025-09-17,23,6,17,-47.60,-625.45,-626.30
2025-09-18,19,6,13,35.10,-590.35,-626.30
2025-09-19,23,7,16,-50.35,-640.70,-641.55
2025-09-22,23,5,18,-33.30,-674.00,-674.85
2025-09-23,25,7,18,-28.20,-702.20,-703.05
2025-09-24,17,9,8,27.30,-674.90,-703.05
2025-09-25,24,7,17,-21.40,-696.30,-703.05
2025-09-26,25,10,15,9.70,-686.60,-703.05
2025-09-29,18,7,11,66.70,-619.90,-703.05
2025-09-30,21,10,11,24.70,-595.20,-703.05
2025-10-01,16,4,12,61.35,-533.85,-703.05
2025-10-03,22,4,18,-37.75,-571.60,-703.05
2025-10-06,26,7,19,-109.45,-681.05,-703.05
2025-10-07,23,9,14,98.85,-582.20,-703.05
2025-10-08,21,6,15,46.85,-535.35,-703.05
2025-10-09,25,10,15,-5.75,-541.10,-703.05
2025-10-10,29,6,23,-147.90,-689.00,-703.05
2025-10-13,29,5,24,-229.30,-918.30,-919.15
2025-10-14,22,7,15,4.20,-914.10,-919.15
2025-10-15,18,7,11,-34.65,-948.75,-949.60
2025-10-16,21,5,16,-23.10,-971.85,-972.70
2025-10-17,17,9,8,155.10,-816.75,-972.70
2025-10-20,22,8,14,-8.35,-825.10,-972.70
2025-10-21,5,0,5,-348.10,-1173.20,-1174.05
2025-10-23,26,11,15,106.65,-1066.55,-1174.05
2025-10-24,25,5,20,-98.40,-1164.95,-1174.05
2025-10-27,15,6,9,-62.30,-1227.25,-1228.10
2025-10-28,18,7,11,155.00,-1072.25,-1228.10
2025-10-29,31,5,26,-154.40,-1226.65,-1228.10
2025-10-30,23,5,18,-100.55,-1327.20,-1328.05
2025-10-31,19,6,13,58.20,-1269.00,-1328.05
2025-11-03,24,7,17,-27.80,-1296.80,-1328.05
2025-11-04,26,11,15,-41.20,-1338.00,-1338.85
2025-11-06,23,7,16,-76.50,-1414.50,-1415.35
2025-11-07,11,7,4,122.15,-1292.35,-1415.35
2025-11-10,17,11,6,113.60,-1178.75,-1415.35
2025-11-11,19,8,11,95.50,-1083.25,-1415.35
2025-11-12,20,6,14,-70.70,-1153.95,-1415.35
2025-11-13,21,5,16,-15.55,-1169.50,-1415.35
2025-11-14,17,10,7,115.70,-1053.80,-1415.35
2025-11-17,19,6,13,-31.15,-1084.95,-1415.35
2025-11-18,18,9,9,120.85,-964.10,-1415.35
2025-11-19,19,6,13,59.85,-904.25,-1415.35
2025-11-20,23,7,16,-31.75,-936.00,-1415.35
2025-11-21,19,10,9,202.80,-733.20,-1415.35
2025-11-24,23,8,15,38.35,-694.85,-1415.35
2025-11-25,20,9,11,122.30,-572.55,-1415.35
2025-11-26,22,7,15,-57.75,-630.30,-1415.35
2025-11-27,19,7,12,63.30,-567.00,-1415.35
2025-11-28,27,8,19,-111.80,-678.80,-1415.35
2025-12-01,19,6,13,-9.70,-688.50,-1415.35
2025-12-02,19,7,12,-49.95,-738.45,-1415.35
2025-12-03,18,8,10,75.80,-662.65,-1415.35
2025-12-04,20,9,11,81.90,-580.75,-1415.35
2025-12-05,25,4,21,-52.50,-633.25,-1415.35
2025-12-08,20,5,15,-28.90,-662.15,-1415.35
2025-12-09,22,6,16,47.30,-614.85,-1415.35
2025-12-10,18,6,12,77.80,-537.05,-1415.35
2025-12-11,19,11,8,195.00,-342.05,-1415.35
2025-12-12,24,8,16,48.00,-294.05,-1415.35
2025-12-15,26,6,20,-74.20,-368.25,-1415.35
2025-12-16,20,6,14,-5.95,-374.20,-1415.35
2025-12-17,24,9,15,-20.30,-394.50,-1415.35
2025-12-18,23,6,17,-91.05,-485.55,-1415.35
2025-12-19,21,6,15,-55.25,-540.80,-1415.35
2025-12-22,27,10,17,-23.35,-564.15,-1415.35
2025-12-23,26,9,17,-10.25,-574.40,-1415.35
2025-12-24,24,5,19,-99.95,-674.35,-1415.35
2025-12-26,24,5,19,-6.20,-680.55,-1415.35
2025-12-29,16,8,8,57.80,-622.75,-1415.35
2025-12-30,22,8,14,59.95,-562.80,-1415.35
2025-12-31,16,4,12,28.25,-534.55,-1415.35
2026-01-01,32,5,27,-240.50,-775.05,-1415.35
2026-01-02,19,7,12,98.05,-677.00,-1415.35
2026-01-05,27,7,20,31.65,-645.35,-1415.35
2026-01-06,20,9,11,19.65,-625.70,-1415.35
2026-01-07,18,10,8,24.30,-601.40,-1415.35
2026-01-08,21,5,16,-83.75,-685.15,-1415.35
2026-01-09,22,8,14,18.90,-666.25,-1415.35
2026-01-12,21,5,16,-13.60,-679.85,-1415.35
2026-01-13,23,4,19,-131.55,-811.40,-1415.35
2026-01-14,24,9,15,-50.10,-861.50,-1415.35
2026-01-16,20,7,13,89.50,-772.00,-1415.35
2026-01-19,19,6,13,-32.60,-804.60,-1415.35
2026-01-20,19,10,9,231.70,-572.90,-1415.35
2026-01-21,23,2,21,-276.30,-849.20,-1415.35
2026-01-22,17,8,9,141.70,-707.50,-1415.35
2026-01-23,26,9,17,-69.20,-776.70,-1415.35
2026-01-27,20,8,12,297.60,-479.10,-1415.35
2026-01-28,17,8,9,119.45,-359.65,-1415.35
2026-01-29,22,7,15,-42.40,-402.05,-1415.35
2026-01-30,26,4,22,-233.90,-635.95,-1415.35
2026-02-01,19,6,13,374.10,-261.85,-1415.35
2026-02-02,20,8,12,286.40,24.55,-1415.35
2026-02-03,27,6,21,-186.55,-162.00,-1415.35
2026-02-04,26,6,20,-119.55,-281.55,-1415.35
2026-02-05,25,7,18,-69.80,-351.35,-1415.35
2026-02-06,18,7,11,127.85,-223.50,-1415.35
2026-02-09,21,5,16,-21.30,-244.80,-1415.35
2026-02-10,26,6,20,-68.85,-313.65,-1415.35
2026-02-11,24,9,15,-64.85,-378.50,-1415.35
2026-02-12,22,5,17,-122.15,-500.65,-1415.35
2026-02-13,22,8,14,-29.10,-529.75,-1415.35
2026-02-16,19,3,16,-23.05,-552.80,-1415.35
2026-02-17,23,6,17,25.35,-527.45,-1415.35
2026-02-18,22,6,16,-86.40,-613.85,-1415.35
2026-02-19,16,11,5,268.75,-345.10,-1415.35
2026-02-20,20,8,12,53.45,-291.65,-1415.35
2026-02-23,25,5,20,-207.95,-499.60,-1415.35
2026-02-24,25,10,15,32.15,-467.45,-1415.35
2026-02-25,25,4,21,-160.70,-628.15,-1415.35
2026-02-26,33,8,25,-167.85,-796.00,-1415.35
2026-02-27,17,4,13,-96.85,-892.85,-1415.35
2026-03-02,23,7,16,-102.65,-995.50,-1415.35
2026-03-04,19,5,14,-6.65,-1002.15,-1415.35
2026-03-05,20,7,13,291.65,-710.50,-1415.35
2026-03-06,24,8,16,-6.30,-716.80,-1415.35
