#,Side,Entry Time,Exit Time,Entry Price,Exit Price,P&L,Duration,Entry Reason,Exit Reason
1,PUT,2025-09-08T09:50:00+05:30,2025-09-08T10:02:00+05:30,24817.85,24824.90,-7.05,12m0s,"1m PUT entry: EMA6(2482556) EMA9(2482643) < MA21(2482656), close=2481785","1m PUT exit: EMA6(2481826) crossed above EMA9(2481768), close=2482490"
2,CALL,2025-09-08T10:04:00+05:30,2025-09-08T10:09:00+05:30,24826.10,24810.95,-15.15,5m0s,"1m CALL entry: EMA6(2482282) EMA9(2482127) > MA21(2482080), close=2482610","1m CALL exit: EMA6(2482229) crossed below EMA9(2482251), close=2481095"
3,CALL,2025-09-08T10:11:00+05:30,2025-09-08T10:12:00+05:30,24828.25,24820.00,-8.25,1m0s,"1m CALL re-entry: EMA6(2482387) EMA9(2482353) > MA21(2482002), close=2482825","1m CALL exit: EMA6(2482277) crossed below EMA9(2482282), close=2482000"
4,PUT,2025-09-08T10:14:00+05:30,2025-09-08T10:40:00+05:30,24800.45,24798.20,2.25,26m0s,"1m PUT entry: EMA6(2481369) EMA9(2481622) < MA21(2481828), close=2480045","1m PUT exit: EMA6(2478796) crossed above EMA9(2478696), close=2479820"
5,CALL,2025-09-08T10:42:00+05:30,2025-09-08T10:50:00+05:30,24804.40,24792.55,-11.85,8m0s,"1m CALL entry: EMA6(2479492) EMA9(2479238) > MA21(2479040), close=2480440","1m CALL exit: EMA6(2479788) crossed below EMA9(2479806), close=2479255"
6,PUT,2025-09-08T10:54:00+05:30,2025-09-08T11:07:00+05:30,24785.95,24789.35,-3.40,13m0s,"1m PUT entry: EMA6(2479151) EMA9(2479313) < MA21(2479361), close=2478595","1m PUT exit: EMA6(2478665) crossed above EMA9(2478646), close=2478935"
7,CALL,2025-09-08T11:09:00+05:30,2025-09-08T11:24:00+05:30,24794.00,24801.70,7.70,15m0s,"1m CALL entry: EMA6(2478930) EMA9(2478843) > MA21(2478771), close=2479400","1m CALL exit: EMA6(2480590) crossed below EMA9(2480605), close=2480170"
8,CALL,2025-09-08T11:27:00+05:30,2025-09-08T11:50:00+05:30,24809.65,24818.95,9.30,23m0s,"1m CALL re-entry: EMA6(2480561) EMA9(2480558) > MA21(2480403), close=2480965","1m CALL exit: EMA6(2482090) crossed below EMA9(2482112), close=2481895"
9,PUT,2025-09-08T11:51:00+05:30,2025-09-08T12:01:00+05:30,24818.45,24821.85,-3.40,10m0s,"1m PUT entry: EMA6(2482020) EMA9(2482059) < MA21(2482067), close=2481845","1m PUT exit: EMA6(2481743) crossed above EMA9(2481720), close=2482185"
10,CALL,2025-09-08T12:03:00+05:30,2025-09-08T12:25:00+05:30,24823.10,24829.90,6.80,22m0s,"1m CALL entry: EMA6(2482050) EMA9(2481955) > MA21(2481939), close=2482310","1m CALL exit: EMA6(2483325) crossed below EMA9(2483344), close=2482990"
